title,summary,published,links,source
"Travelers by Land Should Ready Documents, U.S. Officials Say","The reopening comes just ahead of the holiday season, clearing the way for tourists and other nonessential travelers after about 19 months of border closures","Tue, 02 Nov 2021 19:02:01 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2021/11/02/us/politics/us-land-border-travel.html'}, {'href': 'https://www.nytimes.com/2021/11/02/us/politics/us-land-border-travel.html', 'rel': 'standout', 'type': 'text/html'}]",nytimes news
Democrats Reach Deal to Control Drug Prices in Bill,"The provision would, for the first time, allow the government to negotiate prices for some medicines covered by Medicare.","Tue, 02 Nov 2021 23:14:56 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2021/11/02/us/politics/prescription-drug-prices-medicare.html'}, {'href': 'https://www.nytimes.com/2021/11/02/us/politics/prescription-drug-prices-medicare.html', 'rel': 'standout', 'type': 'text/html'}]",nytimes news
Democrats Work to Salvage Methane Fee Amid Opposition From Manchin,"Senator Joe Manchin III of West Virginia, a Democratic holdout, is still working to weaken or jettison a proposed fee on emissions of methane, a powerful pollutant.","Tue, 02 Nov 2021 19:11:12 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2021/11/02/us/politics/methane-emissions-fee.html'}, {'href': 'https://www.nytimes.com/2021/11/02/us/politics/methane-emissions-fee.html', 'rel': 'standout', 'type': 'text/html'}]",nytimes news
Prominent Conservatives Back Letting States Limit Guns in Public,A brief filed in a major gun control case to be heard on Wednesday by the Supreme Court argued that limits on the public carrying of weapons were consistent with the Second Amendment.,"Wed, 03 Nov 2021 10:17:51 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2021/11/02/us/politics/conservatives-new-york-gun-law.html'}, {'href': 'https://www.nytimes.com/2021/11/02/us/politics/conservatives-new-york-gun-law.html', 'rel': 'standout', 'type': 'text/html'}]",nytimes news
Fed Expected to Announce Plan to Slow Bond Buying Amid Rapid Inflation,"The Federal Reserve is expected to announce a plan to taper off its bond buying. With inflation surging, economists’ eyes are already turning to rates.","Tue, 02 Nov 2021 20:25:07 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2021/11/02/business/economy/fed-jerome-powell-rates-inflation.html'}, {'href': 'https://www.nytimes.com/2021/11/02/business/economy/fed-jerome-powell-rates-inflation.html', 'rel': 'standout', 'type': 'text/html'}]",nytimes news
Justice Dept. Sues Penguin Random House Over Simon & Schuster Deal,The Biden administration’s rejection of the proposed $2.18 billion publishing merger reflects a changing atmosphere in Washington toward consolidation.,"Tue, 02 Nov 2021 21:41:37 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2021/11/02/books/penguin-random-house-simon-schuster-merger-lawsuit.html'}, {'href': 'https://www.nytimes.com/2021/11/02/books/penguin-random-house-simon-schuster-merger-lawsuit.html', 'rel': 'standout', 'type': 'text/html'}]",nytimes news
"Biden Administration Moves to Limit Methane, a Potent Greenhouse Gas",The new rule was announced at a U.N. summit where the United States is facing skepticism about its commitment to climate change.,"Tue, 02 Nov 2021 22:44:04 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2021/11/02/climate/biden-methane-climate.html'}, {'href': 'https://www.nytimes.com/2021/11/02/climate/biden-methane-climate.html', 'rel': 'standout', 'type': 'text/html'}]",nytimes news
Races to Watch on Election Day,"The Virginia governor’s race will be closely studied for clues about the midterms, and new mayors will be chosen in New York, Boston, Buffalo, Atlanta and more.","Wed, 03 Nov 2021 12:46:15 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2021/11/02/us/politics/election-results-polls-closing.html'}, {'href': 'https://www.nytimes.com/2021/11/02/us/politics/election-results-polls-closing.html', 'rel': 'standout', 'type': 'text/html'}]",nytimes news
"At COP26 Summit, Urgent Pleas to Combat Global Warning",The opening day of a climate summit was heavy on dire warnings and light on substantive proposals as leaders in Glasgow met to discuss a warming world.,"Wed, 03 Nov 2021 14:13:24 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2021/11/01/world/europe/cop26-glasgow-biden-climate.html'}, {'href': 'https://www.nytimes.com/2021/11/01/world/europe/cop26-glasgow-biden-climate.html', 'rel': 'standout', 'type': 'text/html'}]",nytimes news
"Linwood Holton, 98,Virginia Governor Who Pushed for Racial Equality, Dies","The first Republican governor of the state in almost a century, he seemed to herald a new, post-racial South. He later became disillusioned with his own party.","Tue, 02 Nov 2021 03:57:05 +0000","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.nytimes.com/2021/11/01/us/linwood-holton-dead.html'}, {'href': 'https://www.nytimes.com/2021/11/01/us/linwood-holton-dead.html', 'rel': 'standout', 'type': 'text/html'}]",nytimes news
